sample_id	cluster_label
SRR8908201	Cluster_Naive_Enriched
SRR8908202	Cluster_Naive_Enriched
SRR8908203	Cluster_Naive_Enriched
SRR8908204	Cluster_DENV_Enriched
SRR8908205	Cluster_DENV_Enriched
SRR8908206	Cluster_DENV_Enriched
SRR8908207	Cluster_DENV_Enriched
SRR8908208	Cluster_Naive_Enriched
SRR8908209	Cluster_Naive_Enriched
SRR8908210	Cluster_Naive_Enriched
SRR8908211	Cluster_Naive_Enriched
SRR8908212	Cluster_Naive_Enriched
SRR8908213	Cluster_Naive_Enriched
SRR8908214	Cluster_Naive_Enriched
SRR8908215	Cluster_Naive_Enriched
SRR8908216	Cluster_DENV_Enriched
SRR8908217	Cluster_DENV_Enriched
SRR8908218	Cluster_DENV_Enriched
SRR8908219	Cluster_DENV_Enriched
SRR8908220	Cluster_Naive_Enriched
SRR8908221	Cluster_Naive_Enriched
SRR8908222	Cluster_Naive_Enriched
SRR8908223	Cluster_Naive_Enriched
SRR8908224	Cluster_Naive_Enriched
SRR8908225	Cluster_Naive_Enriched
SRR8908226	Cluster_Naive_Enriched
SRR8908227	Cluster_Naive_Enriched
SRR8908228	Cluster_DENV_Enriched
SRR8908229	Cluster_DENV_Enriched
SRR8908230	Cluster_DENV_Enriched
SRR8908231	Cluster_DENV_Enriched
SRR8908232	Cluster_Naive_Enriched
SRR8908233	Cluster_Naive_Enriched
SRR8908234	Cluster_Naive_Enriched
SRR8908235	Cluster_Naive_Enriched
SRR8908236	Cluster_Naive_Enriched
SRR8908237	Cluster_Naive_Enriched
SRR8908238	Cluster_Naive_Enriched
SRR8908239	Cluster_Naive_Enriched
SRR8908240	Cluster_DENV_Enriched
SRR8908241	Cluster_DENV_Enriched
SRR8908242	Cluster_DENV_Enriched
SRR8908243	Cluster_DENV_Enriched
SRR8908244	Cluster_DENV_Enriched
SRR8908245	Cluster_DENV_Enriched
SRR8908246	Cluster_DENV_Enriched
SRR8908247	Cluster_DENV_Enriched
SRR8908248	Cluster_DENV_Enriched
SRR8908249	Cluster_DENV_Enriched
SRR8908250	Cluster_DENV_Enriched
SRR8908251	Cluster_DENV_Enriched
SRR8908252	Cluster_DENV_Enriched
SRR8908253	Cluster_DENV_Enriched
SRR8908254	Cluster_DENV_Enriched
SRR8908255	Cluster_DENV_Enriched
SRR8908256	Cluster_Naive_Enriched
SRR8908257	Cluster_Naive_Enriched
SRR8908258	Cluster_Naive_Enriched
SRR8908259	Cluster_Naive_Enriched
SRR8908260	Cluster_Naive_Enriched
SRR8908261	Cluster_Naive_Enriched
SRR8908262	Cluster_Naive_Enriched
SRR8908263	Cluster_Naive_Enriched
SRR8908264	Cluster_DENV_Enriched
SRR8908265	Cluster_DENV_Enriched
SRR8908266	Cluster_DENV_Enriched
