GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSG00000283638	1.0538802121521447	-0.15155820264878336	0.20151682098628673	-0.752087105716584	0.4519986776581805	1	FALSE
ENSG00000283646	1.7352821771095974	-0.10806583658588287	0.15668950433707834	-0.6896813991663807	0.4903945657455626	1	FALSE
ENSG00000283648	0.4620951818567599	-0.07619483454096614	0.29666613427660526	-0.2568369818373798	0.7973046200507321	1	FALSE
ENSG00000283654	0.18550399178997037	-0.05742307827298516	0.48699168940012966	-0.11791387722389718	0.9061358975237904	1	FALSE
ENSG00000283662	1.4537267405465593	0.1853313535655059	0.17204607822527979	1.0772192861195602	0.2813823111601921	1	FALSE
ENSG00000283667	0.2849353969328736	0.04076868053340686	0.3231038343812821	0.12617826282215316	0.8995908175847899	1	FALSE
ENSG00000283672	0.13525586501431874	0.35555889833924487	0.6839063470832063	0.5198941344171886	0.6031373638507526	1	FALSE
ENSG00000283674	5.3518592897339685	-0.018539625484131583	0.08908860277134416	-0.20810322428914504	0.8351483696549136	1	FALSE
ENSG00000283676	0.29569415444767927	-0.24976299621985967	0.31028891614439025	-0.8049368934069003	0.42085609719133016	1	FALSE
ENSG00000283683	0.7347693401215364	-0.10273421168103589	0.24209043849478915	-0.42436294601220764	0.6713011395807249	1	FALSE
ENSG00000283684	0.06508549526662635	0.021128459689480843	1.2924420484962968	0.016347703724173115	0.9869570005478092	1	FALSE
ENSG00000283692	0.05520449532271008	0.022860919965047792	1.386758073243426	0.016485153687679218	0.9868473461210131	1	FALSE
ENSG00000283696	0.67575922395577	-0.19007223118492822	0.2528407227988368	-0.7517469064354481	0.452203276382836	1	FALSE
ENSG00000283701	0.049656592782849555	0.05260673059925395	1.495505104823613	0.0351765637105322	0.9719389501126313	1	FALSE
ENSG00000283703	0.47447629279771486	0.065605424470853893	0.2977798484656903	0.22031519194091082	0.8256256893652005	1	FALSE
ENSG00000283737	2.152316199558329	0.01733596188580844	0.14052727269824378	0.12336368274245384	0.9018191143309111	1	FALSE
ENSG00000283740	0.2573367100180528	-0.011792724526088148	0.32771336444614074	-0.035984875215628466	0.9712944189732984	1	FALSE
ENSG00000283743	1.0903986775947017	-0.18905918049646642	0.20032318867803134	-0.9437708222602779	0.3452867738535757	1	FALSE
ENSG00000283757	0.370337197731813	0.05491984967673154	0.30174406913436436	0.18200805018068522	0.8555764082942303	1	FALSE
ENSG00000283761	3.3108734962765447	-0.017818525091513406	0.1133865481542235	-0.15714849231742567	0.87512782098088	1	FALSE
ENSG00000283765	0.8950911798606995	-0.3253863256232724	0.22024985841554512	-1.4773508957693242	0.13958160160250052	1	FALSE
ENSG00000283769	0.5543704297005614	0.6690958354613009	0.2759063849767073	2.4250828248059126	0.01530489458471813	1	FALSE
ENSG00000283782	3.2635661021912905	-0.11847585751943679	0.11432739352630358	-1.036285826740017	0.30006881636385324	1	FALSE
ENSG00000283783	0.10026971221851343	-0.3026136617766836	0.8376259549566516	-0.3612754117586343	0.7178935727866528	1	FALSE
ENSG00000283785	0.8794583375914025	-0.017604270031618383	0.22085537471284977	-0.07970949339361554	0.9364683088448541	1	FALSE
ENSG00000283787	0.1064558033629386	-0.04356125089350698	0.8388082773457661	-0.05193230928925436	0.9585826299120053	1	FALSE
ENSG00000283809	0.07546851981604343	0.13491502665218266	1.2908854170630186	0.10451355702749902	0.9167618102459252	1	FALSE
ENSG00000283828	0.14047599457696347	-0.13626532089812118	0.6326599837307003	-0.2153847633836191	0.829467348305055	1	FALSE
ENSG00000283839	3.78310279939823	0.03108473550624496	0.10597054602573983	0.2933337297204697	0.7692670743803441	1	FALSE
ENSG00000283867	0.509883147710032	0.3630565992232178	0.2867651403540516	1.2660416073410239	0.2054981864299227	1	FALSE
ENSG00000283881	1.7422134188317697	0.007787297980543822	0.15618602110589905	0.04985912263725438	0.9602346521739086	1	FALSE
ENSG00000283886	1.7398826609684894	-0.2736075101611394	0.15654447033778654	-1.7477941544071025	0.08049967790877818	1	FALSE
ENSG00000283891	0.5786688783647997	0.3172916867691433	0.2755359245550696	1.151543804248031	0.24950858505627938	1	FALSE
ENSG00000283897	1.4034255147386003	0.1328153660387909	0.17493639567897343	0.7592208901029434	0.4477204316324715	1	FALSE
ENSG00000283900	2.1909880096027687	0.05496096240656486	0.139324832267296	0.3944807362202435	0.6932261468415597	1	FALSE
ENSG00000283913	0.7497003102424904	0.03233288851819187	0.23948488643176352	0.13501014197572123	0.8926038556154217	1	FALSE
ENSG00000283929	0.13623318451774108	0.009000430001792376	0.6565496734565469	0.013708680950837545	0.9890623977015934	1	FALSE
ENSG00000283930	2.980163376511442	0.04741731696852694	0.11938953048212518	0.39716478301777214	0.6912459500679176	1	FALSE
ENSG00000283932	0.17514744293346587	-0.17120984952904783	0.5182128469105558	-0.3303851893092856	0.7411089310598393	1	FALSE
ENSG00000283959	0.65927689560037706	-0.17060537629029263	0.25556292066913144	-0.6675670157611384	0.504410018327756	1	FALSE
ENSG00000283967	0.13506179269348434	-0.222038614297121	0.6839283887654907	-0.3246518465155493	0.7454445829621081	1	FALSE
ENSG00000283971	0.10619979773302282	-0.10132098499132701	0.8388534242321938	-0.1207850883890312	0.9038612613665267	1	FALSE
ENSG00000283973	0.09099428944761136	-0.012082370042246689	0.9199997819522034	-0.013133014028121151	0.9895216720811352	1	FALSE
ENSG00000283977	0.08971004628404963	0.045676980533316064	1.0778163829130325	0.042379185599187234	0.9661964209256763	1	FALSE
ENSG00000283982	0.928293585086303	0.1032245964354183	0.2151501142043615	0.47977941734843726	0.6313842499507155	1	FALSE
ENSG00000283991	0.16040982442287469	0.09130824114008894	0.5503077931846851	0.16592212988967356	0.8682182317514676	1	FALSE
ENSG00000283994	3.2174517950002715	0.028737049379878535	0.1148725931192151	0.25016453968315266	0.802460106752939	1	FALSE
ENSG00000284015	0.13155623825701762	-0.30781184646245247	0.681839413423058	-0.4514433170079386	0.6516700694369051	1	FALSE
ENSG00000284024	5.059635312687677	-0.043341134355371305	0.09158129971369738	-0.47325310397280784	0.6360326152947258	1	FALSE
ENSG00000284032	0.4150158426179293	0.24928151399107626	0.2972077982476713	0.8387448628899812	0.40161249728928355	1	FALSE
ENSG00000284035	0.11020501999224214	-0.07330739409246617	0.7676755995860961	-0.0954926718160522	0.9239235107055782	1	FALSE
ENSG00000284048	0.29212921524847196	0.12654194607411362	0.3312807122708067	0.3819780065271999	0.7024776781928324	1	FALSE
ENSG00000284052	3.383410189909513	0.04458739399341749	0.11206385624854796	0.39787488567702417	0.6907224133482961	1	FALSE
